race_id,numeric_race_id,date,course,race_number,race_name,target_surface,target_distance,turn,weather,track_condition,frame_number,horse_number,horse_name,horse_url,horse_id,sex,age,weight_carried,jockey,odds,popularity
2026-07-25-03-11,202601010111,2026-07-25,札幌,11,TVh賞,芝,1200,右,unknown,良,0,8,シカゴスティング,https://db.netkeiba.com/horse/2021105242/,2021105242,牝,5,56.0,武豊,,
2026-07-25-03-11,202601010111,2026-07-25,札幌,11,TVh賞,芝,1200,右,unknown,良,0,9,パクスロマーナ,https://db.netkeiba.com/horse/2020104616/,2020104616,牝,6,56.0,舟山,,
2026-07-25-03-11,202601010111,2026-07-25,札幌,11,TVh賞,芝,1200,右,unknown,良,0,10,メルトユアハート,https://db.netkeiba.com/horse/2021100143/,2021100143,牝,5,56.0,横山和,,
2026-07-25-03-11,202601010111,2026-07-25,札幌,11,TVh賞,芝,1200,右,unknown,良,0,11,ルーフ,https://db.netkeiba.com/horse/2020104194/,2020104194,牝,6,56.0,佐々木,,
2026-07-25-03-11,202601010111,2026-07-25,札幌,11,TVh賞,芝,1200,右,unknown,良,0,12,ロジケープ,https://db.netkeiba.com/horse/2023104015/,2023104015,牡,3,55.0,丹内,,
2026-07-25-03-12,202601010112,2026-07-25,札幌,12,桑園特別,ダ,1700,右,unknown,良,0,1,エンプレスフレーム,https://db.netkeiba.com/horse/2022107254/,2022107254,牝,4,56.0,原田和,,
2026-07-25-03-12,202601010112,2026-07-25,札幌,12,桑園特別,ダ,1700,右,unknown,良,0,2,ギマール,https://db.netkeiba.com/horse/2021105931/,2021105931,牡,5,58.0,国分恭,,
2026-07-25-03-12,202601010112,2026-07-25,札幌,12,桑園特別,ダ,1700,右,unknown,良,0,3,ジュンラトゥール,https://db.netkeiba.com/horse/2021104039/,2021104039,牡,5,58.0,浜中,,
2026-07-25-03-12,202601010112,2026-07-25,札幌,12,桑園特別,ダ,1700,右,unknown,良,0,4,ショウナンヤッホー,https://db.netkeiba.com/horse/2022104605/,2022104605,牡,4,58.0,津村,,
2026-07-25-03-12,202601010112,2026-07-25,札幌,12,桑園特別,ダ,1700,右,unknown,良,0,5,セボンサデッセ,https://db.netkeiba.com/horse/2022104903/,2022104903,牡,4,58.0,武豊,,
2026-07-25-03-12,202601010112,2026-07-25,札幌,12,桑園特別,ダ,1700,右,unknown,良,0,6,ハイクオリティ,https://db.netkeiba.com/horse/2022106924/,2022106924,牡,4,58.0,ゴンサルベ,,
2026-07-25-03-12,202601010112,2026-07-25,札幌,12,桑園特別,ダ,1700,右,unknown,良,0,7,ヒルノピレネー,https://db.netkeiba.com/horse/2020100673/,2020100673,牡,6,58.0,亀田,,
2026-07-25-03-12,202601010112,2026-07-25,札幌,12,桑園特別,ダ,1700,右,unknown,良,0,8,フェスタリア,https://db.netkeiba.com/horse/2022100028/,2022100028,牡,4,58.0,今村,,
2026-07-25-03-12,202601010112,2026-07-25,札幌,12,桑園特別,ダ,1700,右,unknown,良,0,9,フォーワンセルフ,https://db.netkeiba.com/horse/2019102163/,2019102163,牡,7,58.0,荻野琢,,
